id,title,duration,director,actors,genres,year
0,Guardians of the Galaxy,121,James Gunn,"Chris Pratt, Vin Diesel, Bradley Cooper, Zoe Saldana","Action,Adventure,Sci-Fi",2014
1,Prometheus,124,Ridley Scott,"Noomi Rapace, Logan Marshall-Green, Michael Fassbender, Charlize Theron","Adventure,Mystery,Sci-Fi",2012
2,Split,117,M. Night Shyamalan,"James McAvoy, Anya Taylor-Joy, Haley Lu Richardson, Jessica Sula","Horror,Thriller",2016
3,Sing,108,Christophe Lourdelet,"Matthew McConaughey,Reese Witherspoon, Seth MacFarlane, Scarlett Johansson","Animation,Comedy,Family",2016
4,Suicide Squad,123,David Ayer,"Will Smith, Jared Leto, Margot Robbie, Viola Davis","Action,Adventure,Fantasy",2016
5,The Great Wall,103,Yimou Zhang,"Matt Damon, Tian Jing, Willem Dafoe, Andy Lau","Action,Adventure,Fantasy",2016
6,La La Land,128,Damien Chazelle,"Ryan Gosling, Emma Stone, Rosemarie DeWitt, J.K. Simmons","Comedy,Drama,Music",2016
7,Mindhorn,89,Sean Foley,"Essie Davis, Andrea Riseborough, Julian Barratt,Kenneth Branagh",Comedy,2016
8,The Lost City of Z,141,James Gray,"Charlie Hunnam, Robert Pattinson, Sienna Miller, Tom Holland","Action,Adventure,Biography",2016
9,Passengers,116,Morten Tyldum,"Jennifer Lawrence, Chris Pratt, Michael Sheen,Laurence Fishburne","Adventure,Drama,Romance",2016
10,Fantastic Beasts and Where to Find Them,133,David Yates,"Eddie Redmayne, Katherine Waterston, Alison Sudol,Dan Fogler","Adventure,Family,Fantasy",2016
11,Hidden Figures,127,Theodore Melfi,"Taraji P. Henson, Octavia Spencer, Janelle MonÃ¡e,Kevin Costner","Biography,Drama,History",2016
12,Rogue One,133,Gareth Edwards,"Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen","Action,Adventure,Sci-Fi",2016
13,Moana,107,Ron Clements,"Auli'i Cravalho, Dwayne Johnson, Rachel House, Temuera Morrison","Animation,Adventure,Comedy",2016
14,Colossal,109,Nacho Vigalondo,"Anne Hathaway, Jason Sudeikis, Austin Stowell,Tim Blake Nelson","Action,Comedy,Drama",2016
15,The Secret Life of Pets,87,Chris Renaud,"Louis C.K., Eric Stonestreet, Kevin Hart, Lake Bell","Animation,Adventure,Comedy",2016
